,time,age,state,gender,occupation,covid_stress,living_with,contacts,covid_info_time,P1,P2,P3,P4,P6,P5a,P5b,P5c,P5d,P5e,P5f,P5g,P5h,P5i,P5j,P7,P8,P9,G1,G2,G3,G4,G5,G6,G7,12grade_nextstep,12grade_choices ,12grade_W1,12grade_W2,12grade_W3,12grade_W4,12grade_W5,12grade_W6,emp_salary_cut,emp_travel,emp_transport,emp_personal_life,emp_pressure,emp_workplace,emp_workflow ,emp_layoffs,emp_fear,emp_screening,emp_canteen,emp_children,emp_body ,emp_preference,emp_performance,unemp_reason,unemp_newjob,unemp_support,unemp_borrow,school_grade,school_hours,school_focus ,school_parents_monitor,school_parents_involve,school_S1 ,school_S2,school_S3,school_S4,school_S5,school_S6,school_S7,school_S8,school_S9,school_S10,school_S11,school_S12,school_S13,school_tuition,school_body,school_rating,college_type,college_focus ,college_parents_monitor ,college_parents_involve,college_S1,college_S2,college_S14,college_S3,college_S4,college_S5,college_S15,college_S7,college_S6,college_S8,college_S9,college_S10,college_S11,college_S12,college_S13,college_hours,college_wakeup,college_rating,college_body,healthcare_contact,healthcare_extra_hours,healthcare_ppe,healthcare_stay,healthcare_mistreat,healthcare_career_risk,healthcare_salary_cut,healthcare_perks,healthcare_food,healthcare_shifts,healthcare_benifits,healthcare_regret,finalyear_plan,finalyear_hours,finalyear_change,finalyear_placements_virtual,finalyear_ms_choices,finalyear_ms_uncertain,finalyear_ms_anxious,finalyear_confidence,finalyear_placements_number,finalyear_S1,finalyear_S2,finalyear_S14,finalyear_S3,finalyear_S4,finalyear_S5,finalyear_S15,finalyear_S7,finalyear_S6,finalyear_S8,finalyear_S9,finalyear_S10,finalyear_S11,finalyear_S12,finalyear_S13,home_workload,home_sharing,home_hustle,home_financial_constraints,home_privacy,home_children,old_delivery,old_status,old_govt_benefits,old_friends,old_entertainment,old_medical_reviews,old_dependent,old_tech,healthcare_type,gad7
0,8/30/2020 23:24:26,21.0,Tamil Nadu,Female,Student in Final Year of College,Low,No,Yes. But I am not fazed by it.,<1 hour/day,4:00:00 AM,15.0,11:00:00 AM,7.0,Fairly good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Three or more times a week.,Once or twice a week.,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),,No,This is better,,,,3.0,Yes,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Medium,Very Low,High,Very Low,Very Low,Very Low,,,,,,,,,,,,,,,,2
1,8/31/2020 7:26:05,51.0,Maharashtra,Male,Working Professional,Medium,No,Yes. But I am not fazed by it.,<1 hour/day,11:00:00 PM,30.0,7:00:00 AM,7.0,Very good,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,Yes,"Safe, I feel like I take adequate precautionary measures and that is satisfactory.",No,No,Yes,Yes,Yes,Yes,4.0,Yes,0.0,2.0,No,Working from home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,8/31/2020 11:56:33,20.0,Tamil Nadu,Female,Student in college but not final year.,Low,No,Yes. And it is worrying.,<1 hour/day,3:00:00 AM,15.0,8:00:00 AM,5.0,Fairly good,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Once or twice a week.,Three or more times a week.,Several days,Several days,Several days,Several days,Several days,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stuff and things,No,No,They interfere a lot more now. And I don't like it.,Low,Medium,Low,Low,Low,Low,Medium,High,Medium,Medium,Medium,Very High,Low,Very High,High,28.0,I've missed quite a lot of classes because I can't wake up.,4.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3,8/31/2020 11:59:39,21.0,Andaman and Nicobar Islands,Male,Student in Final Year of College,Low,No,Yes. But I am not fazed by it.,1-2 hours/day,3:00:00 AM,30.0,11:00:00 AM,10.0,Very good,Once or twice a week,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Less than once a week.,Less than once a week.,Several days,More than half the days,More than half the days,Several days,Not at all,Several days,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher studies outside India,14.0,No,,No,,Yes,2.0,Yes,Medium,High,,,,,,,,Medium,Very High,Very High,,,,,,,,,,,,,,,,,,,10
4,8/31/2020 12:04:52,21.0,Karnataka,Male,Student in Final Year of College,Medium,No,No.,<1 hour/day,2:00:00 AM,50.0,10:00:00 AM,9.0,Fairly good,Once or twice a week,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month.,Not during the past month.,Less than once a week.,Several days,Nearly every day,Nearly every day,Several days,More than half the days,More than half the days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Government or Public Sector Undertaking),3.0,Yes,Normal process is better.,Yes,Yes. I might have to postpone applications to the next semester.,Yes,3.0,Yes,Very Low,Very High,High,Medium,Medium,Medium,Medium,Medium,High,Very High,Very High,Very High,Medium,Medium,High,,,,,,,,,,,,,,,,13
5,8/31/2020 12:13:18,20.0,Tamil Nadu,Male,Student in Final Year of College,Medium,No,Yes. But I am not fazed by it.,<1 hour/day,3:00:00 AM,30.0,10:00:00 AM,4.0,Fairly good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Once or twice a week.,Several days,Several days,Several days,Several days,Several days,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),10.0,Yes,This is better,,,Yes,3.0,Yes,High,High,High,Low,Medium,Low,Low,Low,High,Medium,Very High,Very High,Medium,Medium,Medium,,,,,,,,,,,,,,,,9
6,8/31/2020 12:29:10,20.0,Tamil Nadu,Male,Student in Final Year of College,Medium,No,Yes. And it is worrying.,<1 hour/day,12:00:00 AM,10.0,7:00:00 AM,7.0,Fairly good,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Less than once a week,Once or twice a week,Not during the past month.,Not during the past month.,Once or twice a week.,More than half the days,Several days,More than half the days,Several days,More than half the days,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),5.0,No,This is better,No,No. I need to apply for 2021 or cancel the plan and try off-campus for a job.,Yes,3.0,Yes,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Medium,Very Low,Very Low,Medium,Medium,Very Low,Very Low,Medium,,,,,,,,,,,,,,,,12
7,8/31/2020 12:29:43,20.0,Tamil Nadu,Male,Student in college but not final year.,Low,No,No.,<1 hour/day,4:00:00 AM,2.0,8:00:00 AM,4.0,Very Bad,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month.,Not during the past month.,Not during the past month.,Nearly every day,Nearly every day,Nearly every day,Not at all,Several days,Nearly every day,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.Tech (SE),No,No,They are not involved at all.,Low,Low,Low,Low,Very Low,Very Low,Very Low,High,Medium,High,Very High,Very High,Very High,Very High,Very High,27.0,Everyday.,3.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
8,8/31/2020 12:31:13,19.0,Tamil Nadu,Female,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,11:30:00 PM,60.0,8:00:00 AM,7.0,Fairly Bad,Three or more times a week,Less than once a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Three or more times a week,Once or twice a week,Three or more times a week,Three or more times a week,Not during the past month.,Less than once a week.,Three or more times a week.,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B tech ,No,No,They interfere a lot more now. And I don't like it.,High,Very High,Very High,Medium,Very High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,29.0,I've missed quite a lot of classes because I can't wake up.,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
9,8/31/2020 12:31:45,19.0,Maharashtra,Female,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,2:00:00 AM,30.0,7:45:00 AM,5.0,Fairly good,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Three or more times a week.,Once or twice a week.,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer Science and Engineering,No,No,"Yes, they complement it. And I feel positive about it.",Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very High,Medium,Medium,Very High,Very High,Very High,Medium,Medium,Medium,60.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
